accuracy,loss,val_accuracy,val_loss
0.49047619104385376,1.2025104761123657,0.4888888895511627,0.9545456171035767
0.7476190328598022,0.5615720152854919,0.6888889074325562,0.8588168025016785
0.8571428656578064,0.4662801921367645,0.7111111283302307,0.7181015014648438
0.8666666746139526,0.3283367455005646,0.7111111283302307,0.5820972919464111
0.9190475940704346,0.261340469121933,0.7555555701255798,0.5492411255836487
0.8857142925262451,0.28286832571029663,0.7777777910232544,0.564907431602478
0.8999999761581421,0.23602764308452606,0.6888889074325562,0.5958579778671265
0.9238095283508301,0.21982459723949432,0.7111111283302307,0.5988540649414062
0.9238095283508301,0.2032613307237625,0.800000011920929,0.5474187135696411
0.938095211982727,0.18464608490467072,0.7777777910232544,0.49318015575408936
0.9571428298950195,0.18342748284339905,0.7555555701255798,0.5183261632919312
0.938095211982727,0.1554740071296692,0.800000011920929,0.545993447303772
0.9428571462631226,0.1780247688293457,0.800000011920929,0.5365411639213562
0.9476190209388733,0.15510417520999908,0.7555555701255798,0.46836984157562256
0.976190447807312,0.1036100760102272,0.8222222328186035,0.40647047758102417
0.9523809552192688,0.13494430482387543,0.8444444537162781,0.42077797651290894
0.9714285731315613,0.11260124295949936,0.800000011920929,0.47119224071502686
0.9285714030265808,0.15381284058094025,0.7777777910232544,0.5323257446289062
0.976190447807312,0.1108698919415474,0.800000011920929,0.48924729228019714
0.9476190209388733,0.1348234862089157,0.8444444537162781,0.4770656228065491
0.976190447807312,0.08502760529518127,0.8222222328186035,0.5014838576316833
0.9666666388511658,0.11070306599140167,0.8222222328186035,0.5040067434310913
0.9523809552192688,0.11948925256729126,0.8222222328186035,0.5035344362258911
0.961904764175415,0.10376041382551193,0.8222222328186035,0.46009746193885803
0.9666666388511658,0.12734735012054443,0.8222222328186035,0.5074541568756104
0.961904764175415,0.10783175379037857,0.800000011920929,0.53225177526474
0.961904764175415,0.11487073451280594,0.800000011920929,0.5737226009368896
0.9666666388511658,0.09422694891691208,0.800000011920929,0.6205646991729736
0.9714285731315613,0.0881725326180458,0.8444444537162781,0.5637639164924622
0.961904764175415,0.09575425833463669,0.8444444537162781,0.4669235944747925
